1,103746,3,[['GET /ubuntu/pool/universe/o/opennebula/libopennebula-java-doc_3.4.1-4.1ubuntu1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->yukinko.canonical.com,yukinko.canonical.com->target,target->yukinko.canonical.com,NULL,NULL,0,67874,173,NULL,NULL
24,11723,3,[['GET /ubuntu/pool/main/a/augeas/augeas-doc_1.2.0-0ubuntu1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,677399,151,NULL,NULL
25,11724,3,[['GET /ubuntu/pool/main/a/augeas/augeas-lenses_1.2.0-0ubuntu1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', ''], ['GET /ubuntu/pool/main/a/augeas/augeas-lenses_1.2.0-0ubuntu1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,229659,308,NULL,NULL
26,11743,3,[['GET /ubuntu/pool/main/a/autotools-dev/autotools-dev_20130810.1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,44607,157,NULL,NULL
27,11746,3,[['GET /ubuntu/pool/main/a/avahi/avahi-dbg_0.6.31-4ubuntu1_amd64.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,NULL,NULL,0,852297,152,NULL,NULL
28,14404,3,[['GET /ubuntu/pool/main/d/dee/libdee-doc_1.2.7%2b14.04.20140324-0ubuntu1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,58743,165,NULL,NULL
29,26801,3,[['GET /ubuntu/pool/universe/g/glpk/glpk-doc_4.52.1-2build1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,990053,151,NULL,NULL
30,26804,3,[['GET /ubuntu/pool/universe/g/glue-schema/glue-schema_2.0.10-2_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,33089,155,NULL,NULL
31,36546,3,[['GET /ubuntu/pool/universe/i/id3lib3.8.3/libid3-doc_3.8.3-15_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,629023,154,NULL,NULL
32,36549,3,[['GET /ubuntu/pool/universe/libi/libidn/libidn11-java_1.28-1ubuntu2_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->steelix.canonical.com,steelix.canonical.com->target,target->steelix.canonical.com,NULL,NULL,0,175417,160,NULL,NULL
33,37896,3,[['GET /ubuntu/pool/universe/libl/libloki/libloki-doc_0.1.7-3_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->danava.canonical.com,danava.canonical.com->target,target->danava.canonical.com,NULL,NULL,0,166939,153,NULL,NULL
34,37904,3,[['GET /ubuntu/pool/universe/libl/liblouisutdml/liblouisutdml-data_2.4.0-1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,40937,166,NULL,NULL
35,37907,3,[['GET /ubuntu/pool/universe/libl/liblouisutdml/liblouisutdml-java-doc_2.4.0-1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,33481,170,NULL,NULL
36,76469,3,[['GET /ubuntu/pool/main/f/fonts-tlwg/fonts-tlwg-waree_0.5.1-3_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,157169,154,NULL,NULL
37,76470,3,[['GET /ubuntu/pool/main/u/ubuntu-font-family-sources/fonts-ubuntu-font-family-console_0.80-0ubuntu6_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,15895,192,NULL,NULL
38,83973,3,[['GET /ubuntu/pool/main/x/x11proto-dmx/x11proto-dmx-dev_2.3.1-2_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,6128,156,NULL,NULL
39,83974,3,[['GET /ubuntu/pool/main/x/x11proto-dri2/x11proto-dri2-dev_2.8-2_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,12833,156,NULL,NULL
40,83975,3,[['GET /ubuntu/pool/main/x/x11proto-dri3/x11proto-dri3-dev_1.0-1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,6276,156,NULL,NULL
41,83978,3,[['GET /ubuntu/pool/main/x/x11proto-gl/x11proto-gl-dev_1.4.17-1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,18173,155,NULL,NULL
42,89064,3,[['GET /ubuntu/pool/universe/f/fcitx-configtool/fcitx-config-common_0.4.7-1_all.deb HTTP/1.1', 'Host: archive.ubuntu.com', 'User-Agent: Debian APT-HTTP/1.3 (1.0.1ubuntu2)', '', '']],target->keeton.canonical.com,keeton.canonical.com->target,target->keeton.canonical.com,NULL,NULL,0,6638,167,NULL,NULL
